"Variable","Period","Mean","SD","N","P10","P90"
"PM (ug/m3)","Full",223.2,114,1370,90.9,378.2
"SO2 (ug/m3)","Full",17.3,15.2,1344,4,35.4
"NO2 (ug/m3)","Full",26.8,18,1382,10,48.7
"IM (deaths/1000)","Full",23.1,22,1222,3.3,45.4
"PM (ug/m3)","1987-1990",252.1,126.4,120,103.6,383.5
"SO2 (ug/m3)","1987-1990",19.4,13.3,116,4.4,38.2
"NO2 (ug/m3)","1987-1990",25.5,21.5,117,8.6,42.6
"IM (deaths/1000)","1987-1990",29,31.4,348,4.8,54.3
"PM (ug/m3)","2004-2007",209.4,97.1,420,92.8,366.6
"SO2 (ug/m3)","2004-2007",12.2,8.1,381,4,22.9
"NO2 (ug/m3)","2004-2007",25.6,14,417,10.4,46.4
"IM (deaths/1000)","2001-2004",16.7,14.1,216,2.7,36
